Fonction;Operation;nbIteration;Marge d'erreur (%);Temps d'entrainement(nanosecondes);
Tanh;OR;424;0,001373;530800;
Tanh;OR;425;0,001367;485500;
Tanh;OR;426;0,001360;505800;
Tanh;OR;427;0,001354;504400;
Tanh;OR;428;0,001347;488300;
Tanh;OR;429;0,001341;525100;
Tanh;OR;430;0,001334;500500;
Tanh;OR;431;0,001328;526800;
Tanh;OR;432;0,001322;513300;
Tanh;OR;433;0,001315;490500;
Tanh;OR;434;0,001309;516900;
Tanh;OR;435;0,001303;513300;
Tanh;OR;436;0,001297;495200;
Tanh;OR;437;0,001291;521300;
Tanh;OR;438;0,001285;526500;
Tanh;OR;439;0,001279;504000;
Tanh;OR;440;0,001273;539200;
Tanh;OR;441;0,001267;2071500;
Tanh;OR;442;0,001261;545800;
Tanh;OR;443;0,001256;526300;
Tanh;OR;444;0,001250;510100;
Tanh;OR;445;0,001244;528400;
Tanh;OR;446;0,001238;535500;
Tanh;OR;447;0,001233;509100;
Tanh;OR;448;0,001227;508900;
Tanh;OR;449;0,001222;734700;
Tanh;OR;450;0,001216;560500;
Tanh;OR;451;0,001211;515600;
Tanh;OR;452;0,001205;524400;
Tanh;OR;453;0,001200;509400;
Tanh;OR;454;0,001194;498900;
Tanh;OR;455;0,001189;520100;
Tanh;OR;456;0,001184;518300;
Tanh;OR;457;0,001178;645700;
Tanh;OR;458;0,001173;534400;
Tanh;OR;459;0,001168;525200;
Tanh;OR;460;0,001163;525200;
Tanh;OR;461;0,001158;526600;
Tanh;OR;462;0,001152;528900;
Tanh;OR;463;0,001147;522100;
Tanh;OR;464;0,001142;527800;
Tanh;OR;465;0,001137;526700;
Tanh;OR;466;0,001132;540500;
Tanh;OR;467;0,001127;523300;
Tanh;OR;468;0,001122;527100;
Tanh;OR;469;0,001118;583300;
Tanh;OR;470;0,001113;528100;
Tanh;OR;471;0,001108;530300;
Tanh;OR;472;0,001103;537700;
Tanh;OR;473;0,001098;544600;
Tanh;OR;474;0,001094;548400;
Tanh;OR;475;0,001089;537600;
Tanh;OR;476;0,001084;546800;
Tanh;OR;477;0,001080;529300;
Tanh;OR;478;0,001075;578100;
Tanh;OR;479;0,001071;554500;
Tanh;OR;480;0,001066;551000;
Tanh;OR;481;0,001061;550500;
Tanh;OR;482;0,001057;560700;
Tanh;OR;483;0,001053;549000;
Tanh;OR;484;0,001048;556400;
Tanh;OR;485;0,001044;554100;
Tanh;OR;486;0,001039;553200;
Tanh;OR;487;0,001035;565000;
Tanh;OR;488;0,001031;558600;
Tanh;OR;489;0,001026;557600;
Tanh;OR;490;0,001022;563700;
Tanh;OR;491;0,001018;561300;
Tanh;OR;492;0,001014;573900;
Tanh;OR;493;0,001009;563900;
Tanh;OR;494;0,001005;561700;
Tanh;OR;495;0,001001;568700;
Tanh;OR;496;0,000997;561900;
Tanh;OR;497;0,000993;564000;
Tanh;OR;498;0,000989;772200;
Tanh;OR;499;0,000985;630000;
Tanh;OR;500;0,000981;572700;
Tanh;OR;501;0,000977;580800;
Tanh;OR;502;0,000973;565400;
Tanh;OR;503;0,000969;563500;
Tanh;OR;504;0,000965;564100;
Tanh;OR;505;0,000961;556300;
Tanh;OR;506;0,000957;568000;
Tanh;OR;507;0,000953;560700;
Tanh;OR;508;0,000950;583800;
Tanh;OR;509;0,000946;551500;
Tanh;OR;510;0,000942;562200;
Tanh;OR;511;0,000938;584200;
Tanh;OR;512;0,000935;565500;
Tanh;OR;513;0,000931;561800;
Tanh;OR;514;0,000927;563100;
Tanh;OR;515;0,000924;574000;
Tanh;OR;516;0,000920;562600;
Tanh;OR;517;0,000916;580000;
Tanh;OR;518;0,000913;562200;
Tanh;OR;519;0,000909;584700;
Tanh;OR;520;0,000906;589300;
Tanh;OR;521;0,000902;566100;
Tanh;OR;522;0,000899;585000;
Tanh;OR;523;0,000895;647500;
Tanh;OR;524;0,000892;598200;
Tanh;OR;525;0,000888;590600;
Tanh;OR;526;0,000885;586800;
Tanh;OR;527;0,000881;593400;
Tanh;OR;528;0,000878;586400;
Tanh;OR;529;0,000874;598100;
Tanh;OR;530;0,000871;614500;
Tanh;OR;531;0,000868;597400;
Tanh;OR;532;0,000864;581900;
Tanh;OR;533;0,000861;587100;
Tanh;OR;534;0,000858;568100;
Tanh;OR;535;0,000855;570700;
Tanh;OR;536;0,000851;569400;
Tanh;OR;537;0,000848;581200;
Tanh;OR;538;0,000845;580000;
Tanh;OR;539;0,000842;608800;
Tanh;OR;540;0,000839;583200;
Tanh;OR;541;0,000835;595300;
Tanh;OR;542;0,000832;617100;
Tanh;OR;543;0,000829;597100;
Tanh;OR;544;0,000826;587300;
Tanh;OR;545;0,000823;596700;
Tanh;OR;546;0,000820;605000;
Tanh;OR;547;0,000817;595900;
Tanh;OR;548;0,000814;619800;
Tanh;OR;549;0,000811;603200;
Tanh;OR;550;0,000808;716100;
Tanh;OR;551;0,000805;642600;
Tanh;OR;552;0,000802;607700;
Tanh;OR;553;0,000799;624700;
Tanh;OR;554;0,000796;636300;
Tanh;OR;555;0,000793;616700;
Tanh;OR;556;0,000790;618700;
