Fonction;Operation;nbIteration;Taux de réussite (%);Temps d'entrainement(nanosecondes);
Tanh;OR;403;100,000000;848300;
Tanh;OR;404;100,000000;556700;
Tanh;OR;405;100,000000;552900;
Tanh;OR;406;100,000000;558300;
Tanh;OR;407;100,000000;651200;
Tanh;OR;408;100,000000;557300;
Tanh;OR;409;100,000000;636700;
Tanh;OR;410;100,000000;562900;
Tanh;OR;411;100,000000;559400;
Tanh;OR;412;100,000000;560500;
Tanh;OR;413;100,000000;566300;
Tanh;OR;414;100,000000;562400;
Tanh;OR;415;100,000000;563700;
Tanh;OR;416;100,000000;565000;
Tanh;OR;417;100,000000;572100;
Tanh;OR;418;100,000000;568100;
Tanh;OR;419;100,000000;569700;
Tanh;OR;420;100,000000;573700;
Tanh;OR;421;100,000000;571800;
Tanh;OR;422;100,000000;572900;
Tanh;OR;423;100,000000;574700;
Tanh;OR;424;100,000000;581700;
Tanh;OR;425;100,000000;577500;
Tanh;OR;426;100,000000;578500;
Tanh;OR;427;100,000000;584100;
Tanh;OR;428;100,000000;657800;
Tanh;OR;429;100,000000;582600;
Tanh;OR;430;100,000000;587400;
Tanh;OR;431;100,000000;585500;
Tanh;OR;432;100,000000;586800;
Tanh;OR;433;100,000000;592000;
Tanh;OR;434;100,000000;589300;
Tanh;OR;435;100,000000;590600;
Tanh;OR;436;100,000000;595700;
Tanh;OR;437;100,000000;593600;
Tanh;OR;438;100,000000;595300;
Tanh;OR;439;100,000000;596500;
Tanh;OR;440;100,000000;600200;
Tanh;OR;441;100,000000;599100;
Tanh;OR;442;100,000000;600600;
Tanh;OR;443;100,000000;607000;
Tanh;OR;444;100,000000;602800;
Tanh;OR;445;100,000000;604700;
Tanh;OR;446;100,000000;609900;
Tanh;OR;447;100,000000;607000;
Tanh;OR;448;100,000000;608100;
Tanh;OR;449;100,000000;613200;
Tanh;OR;450;100,000000;611600;
Tanh;OR;451;100,000000;612800;
Tanh;OR;452;100,000000;622500;
Tanh;OR;453;100,000000;706800;
Tanh;OR;454;100,000000;620900;
Tanh;OR;455;100,000000;625600;
Tanh;OR;456;100,000000;623800;
Tanh;OR;457;100,000000;625200;
Tanh;OR;458;100,000000;631100;
Tanh;OR;459;100,000000;628100;
Tanh;OR;460;100,000000;629500;
Tanh;OR;461;100,000000;635600;
Tanh;OR;462;100,000000;632300;
Tanh;OR;463;100,000000;633400;
Tanh;OR;464;100,000000;638600;
Tanh;OR;465;100,000000;636200;
Tanh;OR;466;100,000000;637400;
Tanh;OR;467;100,000000;642200;
Tanh;OR;468;100,000000;640100;
Tanh;OR;469;100,000000;641800;
Tanh;OR;470;100,000000;647500;
Tanh;OR;471;100,000000;644300;
Tanh;OR;472;100,000000;645500;
Tanh;OR;473;100,000000;650300;
Tanh;OR;474;100,000000;648500;
Tanh;OR;475;100,000000;650900;
Tanh;OR;476;100,000000;654500;
Tanh;OR;477;100,000000;651500;
Tanh;OR;478;100,000000;819900;
Tanh;OR;479;100,000000;659300;
Tanh;OR;480;100,000000;657000;
Tanh;OR;481;100,000000;658400;
Tanh;OR;482;100,000000;663800;
Tanh;OR;483;100,000000;660700;
Tanh;OR;484;100,000000;662300;
Tanh;OR;485;100,000000;667400;
Tanh;OR;486;100,000000;664400;
Tanh;OR;487;100,000000;666100;
Tanh;OR;488;100,000000;669900;
Tanh;OR;489;100,000000;668000;
Tanh;OR;490;100,000000;669300;
Tanh;OR;491;100,000000;675200;
Tanh;OR;492;100,000000;673600;
Tanh;OR;493;100,000000;678900;
Tanh;OR;494;100,000000;675100;
Tanh;OR;495;100,000000;676200;
Tanh;OR;496;100,000000;681400;
Tanh;OR;497;100,000000;681400;
Tanh;OR;498;100,000000;694400;
Tanh;OR;499;100,000000;686300;
Tanh;OR;500;100,000000;792000;
Tanh;OR;501;100,000000;685600;
Tanh;OR;502;100,000000;690900;
Tanh;OR;503;100,000000;687200;
Tanh;OR;504;100,000000;688300;
Tanh;OR;505;100,000000;693600;
Tanh;OR;506;100,000000;691200;
Tanh;OR;507;100,000000;695900;
