Fonction;Operation;nbIteration;Marge d'erreur (%);Temps d'entrainement(nanosecondes)
Tanh;AND;422;0,00482;461600
Tanh;AND;423;0,004796;460800
Tanh;AND;424;0,004772;458299
Tanh;AND;425;0,004748;460300
Tanh;AND;426;0,004724;465300
Tanh;AND;427;0,0047;467601
Tanh;AND;428;0,004677;471499
Tanh;AND;429;0,004653;467899
Tanh;AND;430;0,00463;496000
Tanh;AND;431;0,004607;468500
Tanh;AND;432;0,004585;474099
Tanh;AND;433;0,004562;477200
Tanh;AND;434;0,004539;473900
Tanh;AND;435;0,004517;475000
Tanh;AND;436;0,004495;488100
Tanh;AND;437;0,004473;478700
Tanh;AND;438;0,004451;488600
Tanh;AND;439;0,00443;478799
Tanh;AND;440;0,004408;504900
Tanh;AND;441;0,004387;558600
Tanh;AND;442;0,004365;504400
Tanh;AND;443;0,004344;487699
Tanh;AND;444;0,004324;509599
Tanh;AND;445;0,004303;488899
Tanh;AND;446;0,004282;498300
Tanh;AND;447;0,004262;496999
Tanh;AND;448;0,004241;489799
Tanh;AND;449;0,004221;489000
Tanh;AND;450;0,004201;488201
Tanh;AND;451;0,004181;493401
Tanh;AND;452;0,004162;491400
Tanh;AND;453;0,004142;493699
Tanh;AND;454;0,004122;504800
Tanh;AND;455;0,004103;497600
Tanh;AND;456;0,004084;497300
Tanh;AND;457;0,004065;500101
Tanh;AND;458;0,004046;497500
Tanh;AND;459;0,004027;501200
Tanh;AND;460;0,00401;497300
Tanh;AND;461;0,004036;564300
Tanh;AND;462;0,008268;504099
Tanh;AND;463;0,315226;509400
Tanh;AND;464;0,221985;502100
Tanh;AND;465;0,026301;507400
Tanh;AND;466;0,004808;507100
Tanh;AND;467;0,004066;506600
Tanh;AND;468;0,003836;515401
Tanh;AND;469;0,003842;520700
Tanh;AND;470;0,003811;512400
Tanh;AND;471;0,003797;511900
Tanh;AND;472;0,003757;513200
Tanh;AND;473;0,003727;514700
Tanh;AND;474;0,003691;518700
Tanh;AND;475;0,00421;526301
Tanh;AND;476;0,011857;528500
Tanh;AND;477;0,081058;613300
Tanh;AND;478;0,617919;684699
Tanh;AND;479;0,210197;522499
Tanh;AND;480;0,029744;536800
Tanh;AND;481;0,00997;531600
Tanh;AND;482;0,0037;514100
Tanh;AND;483;0,003626;512700
Tanh;AND;484;0,004647;527600
Tanh;AND;485;0,004648;527900
Tanh;AND;486;0,007047;529499
Tanh;AND;487;0,016948;530100
Tanh;AND;488;0,131285;528400
Tanh;AND;489;0,592485;531500
Tanh;AND;490;0,225772;742500
Tanh;AND;491;0,037584;548000
Tanh;AND;492;0,02134;535300
Tanh;AND;493;0,012085;525201
Tanh;AND;494;0,014864;527300
Tanh;AND;495;0,013252;534800
