Fonction de transfert;nbNeuronesCaches1;nbNeuronesCaches2;taux;resultat mlp en %
Tanh;100;150;0,010000;94,270000
Sigmoïde;100;150;0,050000;94,790000
Tanh;100;150;0,050000;94,270000
Sigmoïde;100;150;0,100000;94,950000
Tanh;100;150;0,100000;93,850000
Sigmoïde;100;150;0,300000;94,410000
Tanh;100;150;0,300000;10,100000
Sigmoïde;100;150;0,500000;95,040000
Tanh;100;150;0,500000;11,350000
Sigmoïde;125;0;0,010000;94,150000
Tanh;125;0;0,010000;92,610000
Sigmoïde;125;0;0,050000;95,330000
Tanh;125;0;0,050000;87,360000
Sigmoïde;125;0;0,100000;95,630000
Tanh;125;0;0,100000;17,640000
Sigmoïde;125;0;0,300000;95,730000
Tanh;125;0;0,300000;12,360000
Sigmoïde;125;0;0,500000;95,850000
Tanh;125;0;0,500000;9,810000
Sigmoïde;125;25;0,010000;90,640000
Tanh;125;25;0,010000;94,660000
Sigmoïde;125;25;0,050000;95,080000
Tanh;125;25;0,050000;94,350000
Sigmoïde;125;25;0,100000;95,020000
Tanh;125;25;0,100000;93,100000
Sigmoïde;125;25;0,300000;95,290000
Tanh;125;25;0,300000;11,350000
Sigmoïde;125;25;0,500000;95,240000
Tanh;125;25;0,500000;8,920000
Sigmoïde;125;50;0,010000;90,630000
Tanh;125;50;0,010000;94,470000
Sigmoïde;125;50;0,050000;95,160000
Tanh;125;50;0,050000;93,590000
Sigmoïde;125;50;0,100000;95,000000
Tanh;125;50;0,100000;94,050000
Sigmoïde;125;50;0,300000;95,320000
Tanh;125;50;0,300000;15,010000
Sigmoïde;125;50;0,500000;95,260000
Tanh;125;50;0,500000;9,800000
Sigmoïde;125;75;0,010000;89,960000
Tanh;125;75;0,010000;94,480000
Sigmoïde;125;75;0,050000;94,990000
Tanh;125;75;0,050000;94,070000
Sigmoïde;125;75;0,100000;95,020000
Tanh;125;75;0,100000;93,180000
Sigmoïde;125;75;0,300000;95,080000
Tanh;125;75;0,300000;9,800000
Sigmoïde;125;75;0,500000;95,540000
Tanh;125;75;0,500000;11,350000
Sigmoïde;125;100;0,010000;90,280000
Tanh;125;100;0,010000;94,590000
Sigmoïde;125;100;0,050000;94,820000
Tanh;125;100;0,050000;94,560000
Sigmoïde;125;100;0,100000;95,080000
Tanh;125;100;0,100000;93,550000
Sigmoïde;125;100;0,300000;95,120000
Tanh;125;100;0,300000;9,570000
Sigmoïde;125;100;0,500000;95,240000
Tanh;125;100;0,500000;10,010000
Sigmoïde;125;125;0,010000;90,150000
Tanh;125;125;0,010000;94,330000
Sigmoïde;125;125;0,050000;94,910000
Tanh;125;125;0,050000;94,260000
Sigmoïde;125;125;0,100000;95,300000
Tanh;125;125;0,100000;94,310000
Sigmoïde;125;125;0,300000;94,960000
Tanh;125;125;0,300000;10,830000
Sigmoïde;125;125;0,500000;95,250000
Tanh;125;125;0,500000;9,800000
Sigmoïde;125;150;0,010000;77,300000
Tanh;125;150;0,010000;94,640000
Sigmoïde;125;150;0,050000;94,420000
Tanh;125;150;0,050000;94,320000
Sigmoïde;125;150;0,100000;94,950000
Tanh;125;150;0,100000;94,040000
Sigmoïde;125;150;0,300000;95,170000
Tanh;125;150;0,300000;11,350000
Sigmoïde;125;150;0,500000;95,340000
Tanh;125;150;0,500000;11,350000
Sigmoïde;150;0;0,010000;94,120000
Tanh;150;0;0,010000;92,700000
Sigmoïde;150;0;0,050000;95,320000
Tanh;150;0;0,050000;87,040000
Sigmoïde;150;0;0,100000;95,450000
Tanh;150;0;0,100000;9,800000
Sigmoïde;150;0;0,300000;95,760000
Tanh;150;0;0,300000;11,000000
Sigmoïde;150;0;0,500000;95,950000
Tanh;150;0;0,500000;15,490000
Sigmoïde;150;25;0,010000;90,970000
Tanh;150;25;0,010000;95,100000
Sigmoïde;150;25;0,050000;94,660000
Tanh;150;25;0,050000;94,090000
Sigmoïde;150;25;0,100000;95,180000
Tanh;150;25;0,100000;93,420000
Sigmoïde;150;25;0,300000;95,220000
Tanh;150;25;0,300000;10,320000
Sigmoïde;150;25;0,500000;95,710000
Tanh;150;25;0,500000;9,050000
Sigmoïde;150;50;0,010000;91,440000
Tanh;150;50;0,010000;94,120000
Sigmoïde;150;50;0,050000;94,760000
Tanh;150;50;0,050000;94,410000
Sigmoïde;150;50;0,100000;94,800000
Tanh;150;50;0,100000;93,580000
Sigmoïde;150;50;0,300000;95,410000
Tanh;150;50;0,300000;9,580000
Sigmoïde;150;50;0,500000;95,370000
Tanh;150;50;0,500000;11,350000
Sigmoïde;150;75;0,010000;89,390000
Tanh;150;75;0,010000;94,620000
Sigmoïde;150;75;0,050000;94,920000
Tanh;150;75;0,050000;94,040000
Sigmoïde;150;75;0,100000;94,970000
Tanh;150;75;0,100000;93,590000
Sigmoïde;150;75;0,300000;94,920000
Tanh;150;75;0,300000;9,850000
Sigmoïde;150;75;0,500000;95,330000
Tanh;150;75;0,500000;9,820000
Sigmoïde;150;100;0,010000;87,170000
Tanh;150;100;0,010000;94,860000
Sigmoïde;150;100;0,050000;95,030000
Tanh;150;100;0,050000;94,370000
Sigmoïde;150;100;0,100000;95,130000
Tanh;150;100;0,100000;93,580000
Sigmoïde;150;100;0,300000;95,190000
Tanh;150;100;0,300000;9,580000
Sigmoïde;150;100;0,500000;95,040000
Tanh;150;100;0,500000;10,320000
Sigmoïde;150;125;0,010000;90,270000
